topic,title,year
34,security and privacy in smart farming challenges and opportunities,2020.0
34,the iot and ai in agriculture the time is now a systematic review of smart sensing technologies,2025.0
34,from data to nutrition the impact of computing infrastructure and artificial intelligence,2024.0
34,navigating challenges opportunities in developing smart agricultural extension platforms multi media data mining techniques,2025.0
34,a survey on artificial intelligence in cybersecurity for smart agriculture state of the art cyber threats artificial intelligence applications and ethical concerns,2024.0
1,fairness of artificial intelligence in healthcare review and recommendations,2023.0
1,towards secure and trusted ai in healthcare a systematic review of emerging innovations and ethical challenges,2024.0
1,ethical and legal challenges of artificial intelligence driven healthcare,2020.0
1,multi stakeholder preferences for the use of artificial intelligence in healthcare a systematic review and thematic analysis,2023.0
1,unlocking the potential of artificial intelligence in sports cardiology does it have a role in evaluating athlete s heart,2024.0
16,cybersecurity risk analysis of electric vehicles charging stations,2023.0
16,smart grid metering networks a survey on security privacy and open research issues,2019.0
16,bibliographical review on cyber attacks from a control oriented perspective,2019.0
16,security of smart grid cybersecurity issues potential cyberattacks major incidents and future directions,2025.0
16,real time co simulation testbed for microgrid cyber physical analysis,2016.0
29,malicious url detection using machine learning a survey,2017.0
29,detection and prevention of spear phishing attacks a comprehensive survey,2025.0
29,an investigation of ai based ensemble methods for the detection of phishing attacks,2024.0
29,network embedding based approach for detecting collusive spamming groups on e commerce platforms,2022.0
29,mitigation strategies against the phishing attacks a systematic literature review,2023.0
5,deep learning models for cyber security in iot networks,2019.0
5,machine learning based iot intrusion detection system an mqtt case study mqtt iot ids2020 dataset,2021.0
5,deep learning models for cloud edge fog and iot computing paradigms survey recent advances and future directions,2023.0
5,recent advances in anomaly detection in internet of things status challenges and perspectives,2024.0
5,analysis of machine learning based approaches for securing the internet of things in the smart industry a multivocal state of knowledge review,2024.0
23,the rise of ransomware and emerging security challenges in the internet of things,2017.0
23,ransomware based cyber attacks a comprehensive survey,2022.0
23,ransomware analysis,2024.0
23,a mechanism design approach to solve ransomware dilemmas,2021.0
23,rank fraud and malware detection in google play using fairplay,2022.0
12,deep learning approaches for anomaly based intrusion detection systems a survey taxonomy and open issues,2019.0
12,gru based deep learning approach for network intrusion alert prediction,2021.0
12,a survey on secure network intrusion detection prevention approaches,2016.0
12,deep learning approaches for anomaly and intrusion detection in computer network a review,2021.0
12,on the evaluation of sequential machine learning for network intrusion detection,2021.0
38,the challenges of cybersecurity in health care the uk national health service as a case study,2019.0
38,cyber threats in mobile healthcare applications systematic review of enabling technologies threat models detection approaches and future directions,2025.0
38,healthcare device security insights and implications,2021.0
38,cyberbiosecurity an emerging new discipline to help safeguard the bioeconomy,2018.0
38,integration of emerging technologies in cybersecurity for healthcare a systematic review,2025.0
0,generative artificial intelligence empowers educational reform current status issues and prospects,2023.0
0,chatgpt for good on opportunities and challenges of large language models for education,2023.0
0,artificial intelligence and user experience in reciprocity contributions and state of the art,2023.0
0,harnessing ai for sustainable higher education ethical considerations operational efficiency and future directions,2025.0
0,ai driven transformations in higher education opportunities and challenges,2023.0
-1,a survey on systems security metrics,2016.0
-1,a taxonomy of cyber physical threats and impact in the smart home,2018.0
-1,blockchain based federated learning for securing internet of things a comprehensive survey,2022.0
-1,who owns the data open data for healthcare,2016.0
-1,lightweight cryptography a solution to secure iot,2020.0
44,toward multi functional 6g wireless networks integrating sensing communication and security,2022.0
44,on the road to 6g visions requirements key technologies and testbeds,2023.0
44,the roadmap to 6g security and privacy,2021.0
44,the road towards 6g a comprehensive survey,2021.0
44,towards multi functional 6g wireless networks integrating sensing communication and security,2021.0
17,cybersecurity in big data era from securing big data to data driven security,2019.0
17,big graph analytics,2014.0
17,big data analytics in healthcare exploring the role of machine learning in predicting patient outcomes and improving healthcare delivery,2023.0
17,a systematic review of big data analytics for oil and gas industry 4 0,2020.0
17,big data in healthcare management analysis and future prospects,2019.0
3,artificial intelligence and military applications innovations cybersecurity challenges amp open research areas,2021.0
3,current trends in ai and ml for cybersecurity a state of the art survey,2023.0
3,exploring key issues in cybersecurity data breaches analyzing data breach litigation with ml based text analytics,2023.0
3,cybersecurity data science an overview from machine learning perspective,2020.0
3,artificial intelligence in cybersecurity enhancing automated defense mechanisms to combat sophisticated cyber threats and guarantee digital resilience,2024.0
20,a survey of provably secure searchable encryption,2014.0
20,searchable encryption for healthcare clouds a survey,2017.0
20,the impact of cloud computing on the future of academic library practices and services,2013.0
20,privacy and data protection in mobile cloud computing a systematic mapping study,2020.0
20,an extensive research survey on data integrity and deduplication towards privacy in cloud storage,2020.0
9,a review of federated learning methods in heterogeneous scenarios,2024.0
9,min max cost optimization for efficient hierarchical federated learning in wireless edge networks,2021.0
9,from federated learning to federated neural architecture search a survey,2021.0
9,towards fairness aware federated learning,2023.0
9,federated graph neural networks overview techniques and challenges,2024.0
14,exploring expert perceptions about the cyber security and privacy of connected and autonomous vehicles a thematic analysis approach,2020.0
14,detecting attacks to internal vehicle networks through hamming distance,2017.0
14,vehicular blockchain based collective learning for connected and autonomous vehicles,2020.0
14,smart intersections and connected autonomous vehicles for sustainable smart cities a brief review,2025.0
14,platooning in connected vehicles a review of current solutions standardization activities cybersecurity and research opportunities,2024.0
8,malaysian researchers on open data the first national survey on awareness practices and attitudes,2020.0
8,open science practices in traditional complementary and integrative medicine research a path to enhanced transparency and collaboration,2024.0
8,research data management a conceptual framework,2016.0
8,reusing data technical and ethical challenges,2019.0
8,a systematic review of open data in agriculture,2024.0
18,enabling open science initiatives in clinical psychology and psychiatry without sacrificing patients privacy current practices and future challenges,2018.0
18,data management of sensitive human proteomics data current practices recommendations and perspectives for the future,2021.0
18,insights from adopting a data commons approach for large scale observational cohort studies the california teachers study,2020.0
18,bringing code to data do not forget governance,2020.0
18,applying the fair4health solution to identify multimorbidity patterns and their association with mortality through a frequent pattern growth association algorithm,2022.0
2,the revolution of blockchain state of the art and research challenges,2020.0
2,blockchain applications and architectures for port operations and logistics management,2021.0
2,blockchain for sustainable e agriculture literature review architecture for data management and implications,2021.0
2,a traceable and privacy preserving data exchange scheme based on non fungible token and zero knowledge,2022.0
2,an updated survey on the convergence of distributed ledger technology and artificial intelligence current state major challenges and future direction,2022.0
13,a comprehensive and systematic survey on the internet of things security and privacy challenges security frameworks enabling technologies threats vulnerabilities and countermeasures,2020.0
13,state of the art software based remote attestation opportunities and open issues for internet of things,2021.0
13,iot cybersecurity in 5g and beyond a systematic literature review,2024.0
13,iot privacy and security challenges and solutions,2020.0
13,wireless physical layer key generation with improved bit disagreement for the internet of things using moving window averaging,2019.0
35,visualization and cybersecurity in the metaverse a survey,2022.0
35,development of metaverse for intelligent healthcare,2022.0
35,exploring the darkverse a multi perspective analysis of the negative societal impacts of the metaverse,2023.0
35,machine learning in metaverse security current solutions and future challenges,2024.0
35,mapping metaverse research identifying future research areas based on bibliometric and topic modeling techniques,2023.0
37,application of cognitive computing in healthcare cybersecurity big data and iot a literature review,2022.0
37,an efficient lightweight key agreement and authentication scheme for wban,2020.0
37,internet of things in healthcare an adaptive ethical framework for iot in digital health,2024.0
37,application of big data analytics and internet of medical things iomt in healthcare with view of explainable artificial intelligence a survey,2023.0
37,connected healthcare the impact of internet of things on medical services,2024.0
22,human mobility data in the covid 19 pandemic characteristics applications and challenges,2021.0
22,the multifaceted role of mobile technologies as a strategy to combat covid 19 pandemic,2020.0
22,data journalism and the covid 19 pandemic opportunities and challenges,2021.0
22,covid 19 and digitalization the great acceleration,2021.0
22,fighting pandemics with digital epidemiology,2020.0
62,chatgpt utility in healthcare education research and practice systematic review on the promising perspectives and valid concerns,2023.0
62,the utility of chatgpt as an example of large language models in healthcare education research and practice systematic review on the future perspectives and potential limitations,2023.0
62,benefit risk assessment of chatgpt applications in the field of diabetes and metabolic illnesses a qualitative study,2024.0
62,performance of chatgpt on usmle potential for ai assisted medical education using large language models,2023.0
62,chatgpt applications in medical dental pharmacy and public health education a descriptive study highlighting the advantages and limitations,2023.0
53,risk management using cyber threat information sharing and cyber insurance,2017.0
53,between a rock and a hard ening place cyber insurance in the ransomware era,2023.0
53,cyber insurance state of the art trends and future directions,2023.0
53,sok cyber insurance technical challenges and a system security roadmap,2020.0
53,a comprehensive model for cyber risk based on marked point processes and its application to insurance,2021.0
33,ethical hacking and network defense choose your best network vulnerability scanning tool,2017.0
33,journal of cybersecurity education research and practice,2023.0
33,bibliometric analysis of cyber threat and cyber attack literature exploring the higher education context,2021.0
33,closing the gap boosting women s representation in cybersecurity leadership,2024.0
33,the cyber security knowledge exchange working with employers to produce authentic pbl scenarios and enhance employability,2019.0
11,integration of artificial intelligence ai in enterprise resource planning erp systems opportunities challenges and implications,2024.0
11,assessing the performance of python data visualization libraries a review,2023.0
11,a comprehensive review of data visualization tools features strengths and weaknesses,2023.0
11,international journal of internet of things,2025.0
11,a novel lightweight cryptographic protocol for securing iot devices,2023.0
63,federated learning in intrusion detection advancements applications and future directions,2025.0
63,robust intrusion detection based on personalized federated learning for iot environment,2025.0
63,federated learning for intrusion detection system concepts challenges and future directions,2022.0
63,fedad bench a unified benchmark for federated unsupervised anomaly detection in tabular data,2024.0
63,cyber threat intelligence sharing scheme based on federated learning for network intrusion detection,2022.0
49,large language models in healthcare and medical applications a review,2025.0
49,large language models for mental health applications systematic review,2024.0
49,large language models and healthcare alliance potential and challenges of two representative use cases,2024.0
49,scientific evidence for clinical text summarization using large language models scoping review,2025.0
49,large language models for mental health applications systematic review preprint,2024.0
68,an evaluation of open source serverless computing frameworks support at the edge,2019.0
68,edge ai a systematic review on architectures applications and challenges,2025.0
68,edge intelligence paving the last mile of artificial intelligence with edge computing,2019.0
68,edge computing with artificial intelligence a machine learning perspective,2022.0
68,survey on multi access edge computing for internet of things realization,2018.0
6,what smart campuses can teach us about smart cities user experiences and open data,2018.0
6,shaping the next generation smart city ecosystem an investigation on the requirements applications architecture security and privacy and open research questions,2024.0
6,the future of cities opportunities challanges and the way forward,2019.0
6,what smart campuses can teach us about smart cities a case study on open data,2018.0
6,electric mobility challenges and approaches for sustainable green power synergy in smart cities,2024.0
