topic_id,name,representative_titles,representative_abstracts,label,classification,keep/remove
-1,-1_the_and_of_to,ransomware based cyber attacks a comprehensive survey | a survey of provably secure searchable encryption | a taxonomy of cyber physical threats and impact in the smart home,lt p gt internet of things iot and sensor devices have been connected due to the development of the iot and information communication technology ict it offers automatic environments in smart city and iot scenarios and describes investments in advanced resources in futuristic human lives as sustainable growth of quality wise life with intelligent infrastructure nowadays iot devices are continuously increasing and utilized in advanced iot applications including smart homes smart farming smart enterprises and others however security and privacy are significant challenges with ransomware based cyber attack detection in iot due to the lack of security design and heterogeneity of iot devices in the last few years various advanced paradigms and technologies have been utilized to mitigate the security issues with ransomware attack detection in iot devices and data this paper comprehensively surveys ransomware based cyber attacks and discusses solutions based on advanced technologies such as artificial intelligence ai blockchain and software defined networks sdn then we design service scenarios for ransomware based cyber attack detection finally we summarize the open research challenges and future directions for ransomware in iot lt p gt lt p gt amp nbsp lt p gt | we survey the notion of provably secure searchable encryption se by giving a complete and comprehensive overview of the two main se techniques searchable symmetric encryption sse and public key encryption with keyword search peks since the pioneering work of song wagner and perrig ieee s amp p 00 the field of provably secure se has expanded to the point where we felt that taking stock would provide benefit to the community the survey has been written primarily for the nonspecialist who has a basic information security background thus we sacrifice full details and proofs of individual constructions in favor of an overview of the underlying key techniques we categorize and compare the different se schemes in terms of their security efficiency and functionality for the experienced researcher we point out connections between the many approaches to se and identify open research problems two major conclusions can be drawn from our work while the so called ind cka2 security notion becomes prevalent in the literature and efficient sublinear se schemes meeting this notion exist in the symmetric setting achieving this strong form of security efficiently in the asymmetric setting remains an open problem we observe that in multirecipient se schemes regardless of their efficiency drawbacks there is a noticeable lack of query expressiveness that hinders deployment in practice,,,
0,0_ai_healthcare_medical_clinical,fairness of artificial intelligence in healthcare review and recommendations | towards secure and trusted ai in healthcare a systematic review of emerging innovations and ethical challenges | ethical and legal challenges of artificial intelligence driven healthcare,in this review we address the issue of fairness in the clinical integration of artificial intelligence ai in the medical field as the clinical adoption of deep learning algorithms a subfield of ai progresses concerns have arisen regarding the impact of ai biases and discrimination on patient health this review aims to provide a comprehensive overview of concerns associated with ai fairness discuss strategies to mitigate ai biases and emphasize the need for cooperation among physicians ai researchers ai developers policymakers and patients to ensure equitable ai integration first we define and introduce the concept of fairness in ai applications in healthcare and radiology emphasizing the benefits and challenges of incorporating ai into clinical practice next we delve into concerns regarding fairness in healthcare addressing the various causes of biases in ai and potential concerns such as misdiagnosis unequal access to treatment and ethical considerations we then outline strategies for addressing fairness such as the importance of diverse and representative data and algorithm audits additionally we discuss ethical and legal considerations such as data privacy responsibility accountability transparency and explainability in ai finally we present the fairness of artificial intelligence recommendations in healthcare fair statement to offer best practices through these efforts we aim to provide a foundation for discussing the responsible and equitable implementation and deployment of ai in healthcare | introduction artificial intelligence is in the phase of health care with transformative innovations in diagnostics personalized treatment and operational efficiency while having potential critical challenges are apparent in areas of safety trust security and ethical governance the development of these challenges is important for promoting the responsible adoption of ai technologies into healthcare systems methods this systematic review of studies published between 2010 and 2023 addressed the applications of ai in healthcare and their implications for safety transparency and ethics a comprehensive search was performed in pubmed ieee xplore scopus and google scholar those studies that met the inclusion criteria provided empirical evidence theoretical insights or systematic evaluations addressing trust security and ethical considerations results the analysis brought out both the innovative technologies and the continued challenges explainable ai xai emerged as one of the significant developments it made it possible for healthcare professionals to understand ai driven recommendations by this means increasing transparency and trust still challenges in adversarial attacks algorithmic bias and variable regulatory frameworks remain strong according to several studies more than 60 of healthcare professionals have expressed their hesitation in adopting ai systems due to a lack of transparency and fear of data insecurity moreover the 2024 wotnot data breach uncovered weaknesses in ai technologies and highlighted the dire requirement for robust cybersecurity discussion full understanding of the potential of ai will be possible only with putting into practice of ethical and technical maintains in healthcare systems effective strategies would include integrating bias mitigation methods strengthening cybersecurity protocols to prevent breaches also by adopting interdisciplinary collaboration with the goal of forming transparent regulatory guidelines these are very important steps toward earning trust and ensuring that ai systems are safe reliable and fair conclusion ai can bring transformative opportunities to improve healthcare outcomes but successful implementation will depend on overcoming the challenges of trust security and ethics future research should focus on testing these technologies in multiple real world settings enhance their scalability and fine tune regulations to facilitate accountability only by combining technological innovations with ethical principles and strong governance can ai reshape healthcare ensuring at the same time safety and trustworthiness,,,
1,1_blockchain_technology_the_and,the revolution of blockchain state of the art and research challenges | blockchain applications and architectures for port operations and logistics management | blockchain for sustainable e agriculture literature review architecture for data management and implications,with the advent of the big data era industry business and academia have developed various data exchange schemes to make data more economically beneficial unfortunately most of the existing systems provide only one time data exchanges without the ability to track the provenance and transformations of datasets in addition existing systems encrypt the data to protect data privacy which hinders demanders from verifying the correctness of the data and evaluating its value to provide data traceability and privacy while ensuring fairness during data exchanges we design and implement zkdet a traceable data exchange scheme based on non fungible token and zero knowledge which is able to i track all transformations of data during their lifecycle and record them on the blockchain ii provide zero knowledge proofs to securely guarantee that all complex transformations and data contents are correct and meet specific requirements and iii warrant exchange fairness and data privacy in public storage platforms security analysis and evaluations on zkdet show that it can support traceable data exchange while preserving data privacy and maintaining high throughput despite large data volumes | in recent times artificial intelligence ai and distributed ledger technology dlt have become two of the most discussed sectors in information technology with each having made a major impact this has generated space for further innovation to occur in the convergence of the two technologies in this paper we gather analyse and present a detailed review of the convergence of ai and dlt in a vice versa manner we review how ai is impacts dlt by focusing on ai based consensus algorithms smart contract security selfish mining decentralized coordination dlt fairness non fungible tokens decentralized finance decentralized exchanges decentralized autonomous organizations and blockchain oracles in terms of the impact dlt has on ai the areas covered include ai data privacy explainable ai smart contract based ais parachains decentralized neural networks internet of things 5g technology and data markets and sharing furthermore we identify research gaps and discuss open research challenges in developing future directions,,,
2,2_grid_energy_power_smart,cybersecurity risk analysis of electric vehicles charging stations | smart grid metering networks a survey on security privacy and open research issues | bibliographical review on cyber attacks from a control oriented perspective,the increasing availability of electric vehicles evs is driving a shift away from traditional gasoline powered vehicles subsequently the demand for electric vehicle charging systems evcs is rising leading to the significant growth of evcs as public and private charging infrastructure the cybersecurity related risks in evcs have significantly increased due to the growing network of evcs in this context this paper presents a cybersecurity risk analysis of the network of evcs firstly the recent advancements in the evcs network recent ev adaptation trends and charging use cases are described as a background of the research area secondly cybersecurity aspects in evcs have been presented considering infrastructure and protocol centric vulnerabilities with possible cyber attack scenarios thirdly threats in evcs have been validated with real time data centric analysis of ev charging sessions the paper also highlights potential open research issues in ev cyber research as new knowledge for domain researchers and practitioners | smart grid sg networks are newly upgraded networks of connected objects that greatly improve reliability efficiency and sustainability of the traditional energy infrastructure in this respect the smart metering infrastructure smi plays an important role in controlling monitoring and managing multiple domains in the sg despite the salient features of smi security and privacy issues have been under debate because of the large number of heterogeneous devices that are anticipated to be coordinated through public communication networks this survey paper shows a brief overview of real cyber attack incidents in traditional energy networks and those targeting the smart metering network specifically we present a threat taxonomy considering 1 threats in system level security 2 threats and or theft of services and 3 threats to privacy based on the presented threats we derive a set of security and privacy requirements for sg metering networks furthermore we discuss various schemes that have been proposed to address these threats considering the pros and cons of each finally we investigate the open research issues to shed new light on future research directions in sg metering networks,,,
3,3_iot_security_edge_devices,a comprehensive and systematic survey on the internet of things security and privacy challenges security frameworks enabling technologies threats vulnerabilities and countermeasures | edge intelligence for autonomous driving in 6g wireless system design challenges and solutions | an evaluation of open source serverless computing frameworks support at the edge,the internet of things iot has experienced constant growth in the number of devices deployed and the range of applications in which such devices are used they vary widely in size computational power capacity storage and energy the explosive growth and integration of iot in different domains and areas of our daily lives has created an internet of vulnerabilities iov in the rush to build and implement iot devices security and privacy have not been adequately addressed iot devices many of which are highly constrained are vulnerable to cyber attacks which threaten the security and privacy of users and systems this survey provides a comprehensive overview of iot in regard to areas of application security architecture frameworks recent security and privacy issues in iot as well as a review of recent similar studies on iot security and privacy in addition the paper presents a comprehensive taxonomy of attacks on iot based on the three layer architecture model perception network and application layers as well as a suggestion of the impact of these attacks on cia objectives in representative devices are presented moreover the study proposes mitigations and countermeasures taking a multi faceted approach rather than a per layer approach open research areas are also covered to provide researchers with the most recent research urgent questions in regard to securing iot ecosystem | in a level 5 autonomous driving system the autonomous driving vehicles avs are expected to sense the surroundings via analyzing a large amount of data captured by a variety of onboard sensors in near real time as a result enormous computing costs will be introduced to the avs for processing the tasks with the deployed machine learning ml model while the inference accuracy may not be guaranteed in this context the advent of edge intelligence ei and sixth generation 6g wireless networking are expected to pave the way to more reliable and safer autonomous driving by providing multi access edge computing mec together with ml to avs in close proximity to realize this goal we propose a two tier ei empowered autonomous driving framework in the autonomous vehicles tier the autonomous vehicles are deployed with the shallow layers by splitting the trained deep neural network model in the edge intelligence tier an edge server is implemented with the remaining layers also deep layers and an appropriately trained multi task learning mtl model in particular obtaining the optimal offloading strategy including the binary offloading decision and the computational resources allocation can be formulated as a mixed integer nonlinear programming minlp problem which is solved via mtl in near real time with high accuracy on another note an edge vehicle joint inference is proposed through neural network segmentation to achieve efficient online inference with data privacy preserving and less communication delay experiments demonstrate the effectiveness of the proposed framework and open research topics are finally listed,,,
4,4_data_sharing_clinical_health,who owns the data open data for healthcare | enabling open science initiatives in clinical psychology and psychiatry without sacrificing patients privacy current practices and future challenges | data management of sensitive human proteomics data current practices recommendations and perspectives for the future,research on large shared medical datasets and data driven research are gaining fast momentum and provide major opportunities for improving health systems as well as individual care such open data can shed light on the causes of disease and effects of treatment including adverse reactions side effects of treatments while also facilitating analyses tailored to an individual s characteristics known as personalized or stratified medicine developments such as crowdsourcing participatory surveillance and individuals pledging to become data donors and the quantified self movement where citizens share data through mobile device connected technologies have great potential to contribute to our knowledge of disease improving diagnostics and delivery of healthcare and treatment there is not only a great potential but also major concerns over privacy confidentiality and control of data about individuals once it is shared issues such as user trust data privacy transparency over the control of data ownership and the implications of data analytics for personal privacy with potentially intrusive inferences are becoming increasingly scrutinized at national and international levels this can be seen in the recent backlash over the proposed implementation of care data which enables individuals nhs data to be linked retained and shared for other uses such as research and more controversially with businesses for commercial exploitation by way of contrast through increasing popularity of social media gps enabled mobile apps and tracking wearable devices the it industry and medtech giants are pursuing new projects without clear public and policy discussion about ownership and responsibility for user generated data in the absence of transparent regulation this paper addresses the opportunities of big data in healthcare together with issues of responsibility and accountability it also aims to pave the way for public policy to support a balanced agenda that safeguards personal information while enabling the use of data to improve public health | the psychological and psychiatric communities are generating data on an ever increasing scale to ensure that society reaps the greatest utility in research and clinical care from such rich resources there is significant interest in wide scale open data sharing to foster scientific endeavors however it is imperative that such open science initiatives ensure that data privacy concerns are adequately addressed in this article we focus on these issues in clinical research we review the privacy risks and then discuss how they can be mitigated through appropriate governance mechanisms that are both social e g the application of data use agreements and technological e g de identification of structured data and unstructured narratives we also discuss the benefits and drawbacks of these mechanisms particularly as regards data fidelity our focus is on de identification methods that meet regulatory requirements such as the privacy rule of the health insurance portability and accountability act of 1996 to illustrate their potential we show how the principles we discuss have been applied in a large scale clinical database and distributed research networks we close this article with a discussion of challenges in supporting data privacy as open science initiatives grow in their scale and complexity,,,
5,5_cybersecurity_ai_threat_threats,artificial intelligence and military applications innovations cybersecurity challenges amp open research areas | current trends in ai and ml for cybersecurity a state of the art survey | exploring key issues in cybersecurity data breaches analyzing data breach litigation with ml based text analytics,over the years artificial intelligence ai has seen a steady progress in development and evolution that can aid many sectors today ai plays an essential role in the fourth industrial revolution and it is making its way into the military sector as well many countries are actively looking into ai military technology some of these innovations include image recognition text analysis self driving vehicles sdv gaming robotic process automation rpa amp amp robotic and autonomous systems ras and autonomous weapons systems aws in this research we discuss the advantages of each innovation mentioned and analyze the many different cybersecurity threats that awaken due to military artificial intelligence systems we then discuss the open research areas to better improve the current state of military artificial intelligence applications in terms of ethics system security proper strategy plan accepted responsibility matrix and introduction of relevant laws | abstractthis paper provides a comprehensive survey of the state of the art use of artificial intelligence ai and machine learning ml in the field of cybersecurity the paper illuminates key applications of ai and ml in cybersecurity while also addressing existing challenges and posing unresolved questions for future research the paper also emphasizes the ethical and legal implications associated with their implementation the researchers conducted a thorough survey by reviewing numerous papers and articles from respected sources such as ieee acm and springer their focus centered on the latest ai and ml breakthroughs in cybersecurity while also exploring current challenges and open research questions the results indicate that integrating ai and ml into cybersecurity systems shows great potential for future research and development intrusion detection and response malware detection and network security are among the most promising applications identified according to the survey 45 of organizations have already implemented ai and ml in their cybersecurity systems while an additional 35 plan to do so however 20 of organizations believe that it is not yet the right time for adopting these technologies overall this paper serves as a reliable reference for researchers and practitioners in the field of cybersecurity offering a comprehensive overview of the use of ai and ml it not only highlights the potential applications but also addresses the challenges and research gaps additionally the paper raises awareness about the ethical and legal considerations associated with leveraging ai and ml in the cybersecurity domain,,,
6,6_privacy_protection_data_gdpr,analyzing the analytics data privacy concerns | the more the better data disclosure between the conflicting priorities of privacy concerns information sensitivity and personalization in e commerce | putting data privacy regulation into action the differential capabilities of service frontline interfaces,service frontline encounters between customers and service providers have been subject to fundamental changes in recent years as two major change agents technology infusion and data privacy regulations are inextricably linked and constitute a critical ethical and societal issue specifically service frontlines as represented by human or technological agents or some hybrid form rely on customer data for service provision which subjects them to privacy regulations governing the collection submission access and use of any customer data thus captured however scant research outlines the significant implications of evolving data privacy regulations for service frontline encounters to advance knowledge in this domain this research distills six key dimensions of global data privacy regulations fairness data limits transparency control consent and recourse employing an intelligences theoretical lens the authors theorize how these dimensions might become differentially manifest across three service frontline interface types human based technology based and hybrid carefully intersecting the need for varying intelligences across data privacy regulatory dimensions with the abilities of service frontline interfaces to harness each intelligence type this study offers a novel conceptual framework that advances research and practice theoretical managerial and policy implications unfold from the proposed framework which also can inform a future research agenda | data privacy and security have generated far less evaluative research to date about different policy interventions than many other industries as the public government and industry continue to consider data privacy as a product subject to contract transaction and fair treatment the need for practical assessments of privacy and security will grow this will require the cooperation of multiple research disciplines and a demand for rigorous evaluation regardless of whether the regulatory environment retains the status quo or shifts dramatically going forward,,,
7,7_iot_detection_intrusion_ids,deep learning models for cyber security in iot networks | machine learning based iot intrusion detection system an mqtt case study mqtt iot ids2020 dataset | deep learning models for cloud edge fog and iot computing paradigms survey recent advances and future directions,in this paper we propose deep learning models for the cyber security in iot internet of things networks iot network is as a promising technology which connects the living and non living things around the world the implementation of iot is growing fast but the cyber security is still a loophole so it is susceptible to many cyber attack and for the success of any network it most important that the network is completely secure otherwise people could be reluctant to use this technology ddos distributed denial of service attack has affected many iot networks in recent past that has resulted in huge losses we have proposed deep learning models and evaluated those using latest cicids2017 datasets for ddos attack detection which has provided highest accuracy as 97 16 also proposed models are compared with machine learning algorithms this paper also identifies open research challenges for usage of deep learning algorithm for iot cyber security | detecting unknown cyberattacks remains an open research problem and a significant challenge for the research community and the security industry this article tackles the detection of unknown cybersecurity attacks in the internet of things iot and traditional networks by categorizing them into two types entirely new classes of unknown attacks type a and unknown attacks within already known classes type b to address this we propose a novel multi stage multi layer zero trust architecture for an intrusion detection system ids uniquely designed to handle these attack types the architecture employs a hybrid methodology that combines two supervised and one unsupervised learning stages in a funnel like design significantly advancing current detection capabilities a key innovation is the layered filtering mechanism leveraging type a and type b attack concepts to systematically classify traffic as malicious unless proven otherwise using four benchmark datasets the proposed system demonstrates significant improvements in accuracy recall and error classification rates for unknown attacks achieving an average accuracy and recall ranging between 88 and 95 this work offers a robust scalable framework for enhancing cybersecurity in diverse network environments,,,
8,8_cities_smart_city_urban,what smart campuses can teach us about smart cities user experiences and open data | shaping the next generation smart city ecosystem an investigation on the requirements applications architecture security and privacy and open research questions | the future of cities opportunities challanges and the way forward,universities like cities have embraced novel technologies and data based solutions to improve their campuses with smart becoming a welcomed concept campuses in many ways are small scale cities they increasingly seek to address similar challenges and to deliver improved experiences to their users how can data be used in making this vision a reality what can we learn from smart campuses that can be scaled up to smart cities a short research study was conducted over a three month period at a public university in the united kingdom employing stakeholder interviews and user surveys which aimed to gain insight into these questions based on the study the authors suggest that making data publicly available could bring many benefits to different groups of stakeholders and campus users these benefits come with risks and challenges such as data privacy and protection and infrastructure hurdles however if these challenges can be overcome then open data could contribute significantly to improving campuses and user experiences and potentially set an example for smart cities | this report is an initiative of the joint research centre jrc the science and knowledge service of the european commission ec and supported by the commission s directorate general for regional and urban policy dg regio it highlights drivers shaping the urban future identifying both the key challenges cities will have to address and the strengths they can capitalise on to proactively build their desired futures the main aim of this report is to raise open questions and steer discussions on what the future of cities can and should be both within the science and policymaker communities while addressing mainly european cities examples from other world regions are also given since many challenges and solutions have a global relevance the report is particularly novel in two ways first it was developed in an inclusive manner close collaboration with the ec s community of practice on cities cop cities provided insights from the broader research community and city networks including individual municipalities as well as commission services and international organisations it was also extensively reviewed by an editorial board secondly the report is supported by an online living platform which will host future updates including additional analyses discussions case studies comments and interactive maps that go beyond the scope of the current version of the report steered by the jrc the platform will offer a permanent virtual space to the research practice and policymaking community for sharing and accumulating knowledge on the future of cities this report is produced in the framework of the ec knowledge centre for territorial policies and is part of a wider series of flagship science for policy reports by the jrc investigating future perspectives concerning artificial intelligence the future of road transport resilience cybersecurity and fairness n ninteractive online platform https urban jrc ec europa eu thefutureofcities,,,
