title,abstract,authors,keywords,year,citations
fraud in academic publishing researchers under cyber attacks,,Mehdi Dadkhah; Glenn Borchardt; Tomasz Maliszewski,publishing; medicine; internet privacy; computer security; law; computer science; political science,2016.0,15
an institutional repository in a developing country security and ethical encounters at the bindura university of science education zimbabwe,the article explores the recent experiences encountered by the bindura university of science education buse library zimbabwe in the daily operations of its institutional repository ir with emphasis on security and ethical issues it examines the present scenario in the management of the ir buse library set up an ir to archive and enable access to the university s scholarly research output the account profiles the recent challenges encountered by the library as it manages its institutional repository there are legal and ethical issues undermining the security and ethical use of the buse ir for example cyber threats and unauthorised access the poor performance of the network firewall has exposed the ir server to cyber attacks the ethical challenges relate to plagiarism and predatory publishers who prey on researchers whose work is hosted on the ir the article recommends measures to enhance security and overcome challenges in the management of the ir,Collence Takaingenhamo Chisita; Blessing Chiparausha,firewall (physics); work (physics); public relations; higher education; sociology; political science; business; engineering; law; accretion (finance); schwarzschild radius; charged black hole; finance; mechanical engineering,2020.0,11
read this spam as a threat for open science,drawing on multiple sources of qualitative data i describe a case of open science infrastructure osi abuse the case illustrates how developers navigated scholarly value tensions and issues of epistemic and platform legitimacy while battling spam on their open science webapp notably their struggle used precious financial resources and drew attention away from other development tasks like feature expansion this research makes evident that not only is osi abuse like spam a financial burden but it puts scholarly information security specifically the legitimacy of open science content at risk however protecting against such abuse is not a trivial matter it raises questions of who is responsible for defining and enforcing scholarly values the urgency of this issue is magnified by osi s relationship to public trust in science,Johanna Cohoon,internet privacy; open_science; computer science; world wide web; data science; physics; astronomy,2024.0,4
research at risk global challenges international perspectives and canadian solutions,although traditionally viewed as paragons of international cooperation research institutions and universities are becoming venues for hostile foreign activity research security rs refers to the measures that protect the inputs processes and products that are part of scientific research inquiry and discovery while rs traces its roots to the 1940s global economic and research and development competition the nexus between dual use technology and military power a cluster of newly emerging industries scientific responses to the covid 19 pandemic and societal shifts towards digitization combine to challenge rs in unique ways with an eye on safeguarding traditional notions of open science our article refurbishes canadian rs within the context of emerging challenges and international responses detailing the legal extralegal illegal and other ways in which rs is threatened we use a comparative assessment of emerging responses in the us australia japan and israel to draw lessons for canada,Alex Wilner; Sarah Beach-Vaive; Catherine Carbonneau; Graeme Hopkins; Félix Leblanc,safeguarding; context (archaeology); nexus (standard); political science; competition (biology); public relations; geography; engineering; embedded system; archaeology; biology; medicine; nursing; ecology,2022.0,5
a systematic review of cybersecurity risks in higher education,the demands for information security in higher education will continue to increase serious data breaches have occurred already and are likely to happen again without proper risk management this paper applies the comprehensive literature review clr model to synthesize research within cybersecurity risk by reviewing existing literature of known assets threat events threat actors and vulnerabilities in higher education the review included published studies from the last twelve years and aims to expand our understanding of cybersecurity s critical risk areas the primary finding was that empirical research on cybersecurity risks in higher education is scarce and there are large gaps in the literature despite this issue our analysis found a high level of agreement regarding cybersecurity issues among the reviewed sources this paper synthesizes an overview of mission critical assets everyday threat events proposes a generic threat model and summarizes common cybersecurity vulnerabilities this report concludes nine strategic cyber risks with descriptions of frequencies from the compiled dataset and consequence descriptions the results will serve as input for security practitioners in higher education and the research contains multiple paths for future work it will serve as a starting point for security researchers in the sector,Joachim Bjørge Ulven; Gaute Wangen,computer security; computer science; work (physics); risk management; data breach; threat model; critical infrastructure; risk analysis (engineering); business; finance; mechanical engineering; engineering,2021.0,182
scitokens,the management of security credentials e g passwords secret keys for computational science workflows is a burden for scientists and information security officers problems with credentials e g expiration privilege mismatch cause workflows to fail to fetch needed input data or store valuable scientific results distracting scientists from their research by requiring them to diagnose the problems re run their computations and wait longer for their results in this paper we introduce scitokens open source software to help scientists manage their security credentials more reliably and securely we describe the scitokens system architecture design and implementation addressing use cases from the laser interferometer gravitational wave observatory ligo scientific collaboration and the large synoptic survey telescope lsst projects we also present our integration with widely used software that supports distributed scientific computing including htcondor cvmfs and xrootd scitokens uses ietf standard oauth tokens for capability based secure access to remote scientific data the access tokens convey the specific authorizations needed by the workflows rather than general purpose authentication impersonation credentials to address the risks of scientific workflows running on distributed infrastructure including nsf resources e g ligo data grid open science grid xsede and public clouds e g amazon web services google cloud microsoft azure by improving the interoperability and security of scientific workflows scitokens 1 enables use of distributed computing for scientific domains that require greater data protection and 2 enables use of more widely distributed computing resources by reducing the risk of credential abuse on remote systems,Alex Withers; Brian Bockelman; Derek Weitzel; Duncan Brown; Jeff Gaynor; Jim Basney; Todd Tannenbaum; Zach Miller,computer science; computer security; workflow; cloud computing; interoperability; credential; software; world wide web; authentication (law); the internet; cloud computing security; web application; encryption; cyberinfrastructure; middleware (distributed applications); intrusion detection system; confidentiality; data access; resource (disambiguation); information privacy; suite; service (business); access control; internet privacy; data science; data security; personalization; web service,2018.0,25
research on the application and frontier issues of artificial intelligence in library and information science,this article explores the application of artificial intelligence ai in the field of library and information science as well as the frontier issues it brings with the rapid development of information technology ai has become an important force in driving technological progress especially in the field of library and information science the application of ai technology has not only improved work efficiency but also enhanced the intelligence and personalization of information services the article analyzes the hot topics of ai research in the field of library and information science in china and abroad through content analysis including information retrieval and recommendation systems smart library construction information security and privacy protection and open science and research data management these research hotspots reflect the extensive application of ai technology in the field of library and information science and reflect the academic community s pursuit of improving the quality and efficiency of information services,Fangyuan Wang; Huiting Xu,frontier; data science; computer science; artificial intelligence; information science; library science; political science; law,2024.0,3
mapping the hot topics in library and information science field in period 2015 2018 year,scientometrics encompasses evaluations of science and is often called science about science in this paper scientometrics analysis was conducted in purpose of science mapping to provide better understanding of library and information science lis field the scientometrics analysis in period 2015 2018 year encompassed the total of 21 of lis journals included into the first quartile within scholarly database web of science the total of 460 the most cited documents were extracted and analysed the keywords of these 460 the most cited documents were grouped quantitatively according to their frequencies and qualitatively according to their semantics into ten broader categories or so called hot topics the following ten hot topics in lis field were recognized scholarly communication social media information security and privacy internet of things big data analytics electronic mobile health e government knowledge management information retrieval and information behaviour the revealed hot topics within the lis field could be used as the directions for teachers librarians publishers managers students etc,Anita Papić; M. Buhin,scientometrics; information science; field (mathematics); computer science; the internet; period (music); library science; quartile; world wide web; data science; information retrieval; mathematics; confidence interval; acoustics; pure mathematics; physics; statistics,2019.0,2
evaluating software security maturity using owasp samm different approaches and stakeholders perceptions,recent years have seen a surge in cyber attacks which can be prevented or mitigated using software security activities owasp samm is a maturity model providing a versatile way for companies to assess their security posture and plan for improvements we perform an initial samm assessment in collaboration with a company in the financial domain our objective is to assess a holistic inventory of the company security related activities focusing on how different roles perform the assessment and how they perceive the instrument used in the process we perform a case study to collect data using samm in a lightweight and novel manner through assessment using an online survey with 17 participants and a focus group with seven participants we show that different roles perceive maturity differently and that the two assessments deviate only for specific practices making the lightweight approach a viable and efficient solution in industrial practice our results indicate that the questions included in the samm assessment tool are answered easily and confidently across most roles our results suggest that companies can productively use a lightweight samm assessment we provide nine lessons learned for guiding industrial practitioners in the evaluation of their current security posture as well as for academics wanting to utilize samm as a research tool in industrial settings editor s note open science material was validated by the journal of systems and software open science board,Davide Fucci; Emil Alégroth; Michael Felderer; Christoffer Johannesson,maturity (psychological); capability maturity model; focus group; software; process (computing); engineering; perception; knowledge management; process management; computer science; engineering management; business; political science; psychology; marketing; programming language; neuroscience; law; operating system,2024.0,4
new types of fraud in the academic world by cyber criminals,in recent years the academic world has faced many challenges such as a move towards online open access publishing and researchers have tried to accommodate them however this has also created problems for example dadkhah et al 2015a covered unethical behaviours in the academic world including plagiarism article sale forced joint authorship conversion of a journal in to a print machine and invitations to invalid conferences i believe that the main reasons for the above mentioned challenges do not belong to the publishers alone unethical behaviour of some researchers is also to blame and can be effective in creating such challenges christova bagdassarian 2014 shashikiran 2014 valuable insights regarding journal quality in relation to these challenges specifically predatory publishing have been provided by beall 2010a b there is not much research on the types of cybercrime in the academic world but there are 31 papers in google scholar six papers in scopus and a paper in pubmed investigating hijacked journals however these types of scams are increasing and it is necessary to expose them most of these frauds are clearly unknown to many researchers in this paper i discuss new types of fraud in the academic world and present general guidelines for preventing them most of these frauds are complex and require knowledge about information security and thus many researchers cannot detect them hijacked journals are fake websites that use the name and issn of authentic journals to cheat authors these journals publish authors papers without review by receiving money there is some research regarding hijacked journals but it seems that this is insufficient because the number of victims of hijacked journals is growing some authors jalalian mahboobi 2014 dadkhah et al 2015c discuss hijacked journals and define general guidelines for authors to detect this fraud also there are editorials that expose specific hijacked journals with evidence of their fraud jalalian 2014a dadkhah sutikno 2015 some of the research focuses on the ways forgers cheat authors including bogus impact factors jalalian 2015 fake conferences dadkhah et al 2015b and social engineering dadkhah quliyeva 2014 there were 20 known hijacked journals in 2014 jalalian 2014b but approximately 90 hijacked journals were detected in june 2015 jalalian dadkhah 2015 this shows that the prevalence of hijacked journals is growing also in the initial hijacked journals hijackers used simple methods for hijacking and in most cases they use a content management system to create the website however in 2015 we saw complex types of hijacking where hijackers create hijacked websites similar to the original ones and use complex social engineering techniques to cheat scientific databases such as thomson reuters and index the fake website in these databases two examples are allgemeine forst und jagdzeitung fake url http www sauerlander verlag com accessed 08 october 2015 and gmp review fake url http www euromed uk com accessed 08 october 2015 forgers cheat thomson reuters and indexed fake urls by using some vulnerabilities in this scientific database currently we observe a new type of hijacking in previous hijacking methods forgers used similar urls to authentic journal urls or created the website for journals that did not have a website in the new hijacking method forgers search in thomson reuters to find expired domains which previously belonged to actual journals then register them when these expired domains are re registered authors will find the hijacked version of the journal in thomson reuters and think that it is the authentic version of journal we list some examples of hijacked journals that forgers are using in this way journal of veterinary dentistry issn 0898 7564 hijacked and indexed url in thomson reuters fake url http www pspcommunications com accessed 08 october 2015 authentic version url http www jvdonline org accessed 08 october 2015 intelligent automation and soft computing issn 1079 8587 fake url http autosoftjournal org authentic version url http wacong org autosoft auto index php gmp review issn 1476 4547 fake url euromed uk com authentic version url http www euromedcommunications com accessed 08 october 2015 for detection of journals hijacked by this type of hijacking method authors can use the whois database http whois domaintools com accessed 08 october 2015 if the domain creation date does not match the years in which a journal has issues the reviewed url is fake because when an expired url has been registered again by another person the domain creation data will be changed to the most recent registration date also editors of journals must inform scientific databases such as thomson reuters of any change in their journals url currently forgers are attacking researchers for financial reasons they gather list of emails addresses related to authors and send deceptive emails they gather these email lists from open access journals with the use of specialized software after collecting authors email addresses they send emails to authors and try to cheat them by sending fake paypal invoices or phishing martino perramon 2010 websites in most of these fraudulent emails forgers promise a big prize or speak about new business opportunities and try to collect more information about their victims then use this information to cheat authors in the next round of fraudulent emails in this new type of fraud authors think that they have received an original payment website or a subscription invoice from journals to combat this type of fraud i recommended authors do not answer such emails and ignore them completely also authors must be careful about email attachments and not open suspicious file types such as html jar exe xml etc phisher may create malware and infect victims operation system to steal information dadkhah jazi 2014 in the current century privacy is of the utmost concern and in the academic world we can see some types of privacy invasion through the selling of private information some questionable journals or conferences sell their participants information luki et al 2014 including email addresses telephone number and expertise to people who seek this information for advertisement for example many researchers receive calls for papers from predatory journals after participation in conferences or receive spam emails about some company the best approach for dealing with this type of invasion of privacy is detection of fake conferences from authentic ones fake conferences often have unknown scientific committees use independent urls and general mail services such as yahoo and gmail recently hijackers have created fake proof reading sites to hijack unpublished papers and sell them to people who seek such papers most of these fake proof reading sites promise fast high quality and cheap proof reading to persuade their victims to send papers after hijacking and selling the papers we can find the same paper published with different authors the answer to which authors are the real authors of paper is very hard to determine for detection of these fake proof reading sites we suggest that authors use the whois database and the google page ranking algorithm http www whatsmypr net accessed 08 october 2015 by using the whois database an author can search the domain and receive related information if the domain registration time is less than a year the reviewed site is suspicious according our inspection an authentic proof reading site has more than one page ranking i have introduced the types of cybercrime in the academic world and presented general guidelines for detecting them because i find that there is a lack of knowledge in the academic world regarding cybercrime it is necessary that researchers know about cybercrime otherwise they may themselves become victims in addition cybercrime has an adverse effect on the quality of academic resources for example published papers in hijacked journals may be indexed in scientific bases and be cited in future papers working to assess other aspects of cybercrime continues,Mehdi Dadkhah,computer security; psychology; criminology; internet privacy; computer science,2015.0,14
